variable,method
stay_id,
subject_id,
hadm_id,
landmark_los_days,
landmark_day28_outcome,
nelson_aalen_landmark,
low_qrs_landmark,
n_ecg_pm24,
n_ecg_cat,
anchor_year_group,
first_careunit,
first_patient_flag,
first_ecg_low_qrs,
sepsis_hours_from_icu,
icd_malignancy,
age,
gender,
weight,pmm
icd_hf,
icd_afib,
icd_renal,
icd_liver,
icd_copd,
icd_cad,
icd_stroke,
sofa,
lab_24h_lactate_first,pmm
sapsii,
itvtn_24h_vent_tag,
drug_24h_vaso_tag,
itvtn_24h_rrt_tag,
lab_24h_creatinine_first,pmm
lab_24h_ph_first,pmm
