characteristic,group_0,group_1,smd,missing_n,missing_percent
"Age, years",68.9 [58.0-79.3],70.4 [61.1-79.6],0.149,0,0
Female sex,"4,085 (37.4%)","1,449 (45.1%)",0.156,0,0
"Weight, kg",80.0 [67.8-95.2],81.0 [67.9-96.9],0.074,107,0.76
SOFA score,5 [3-8],6 [4-9],0.358,0,0
SAPS II,38 [31-47],43 [35-53],0.37,0,0
"First lactate, mmol/L",1.9 [1.3-2.8],2.1 [1.4-3.2],0.162,3961,28.03
Heart failure,"4,005 (36.7%)","1,276 (39.7%)",0.062,0,0
Atrial fibrillation,"4,110 (37.7%)","1,405 (43.7%)",0.124,0,0
Renal disease,"2,907 (26.6%)",946 (29.4%),0.063,0,0
Liver disease,"1,404 (12.9%)",564 (17.6%),0.131,0,0
Chronic pulmonary disease,"3,112 (28.5%)","1,020 (31.7%)",0.071,0,0
Coronary artery disease,"5,432 (49.8%)","1,591 (49.5%)",-0.005,0,0
Cerebrovascular disease,"1,419 (13.0%)",348 (10.8%),-0.067,0,0
Malignancy,"1,326 (12.1%)",518 (16.1%),0.114,0,0
Mechanical ventilation,"6,480 (59.4%)","2,023 (63.0%)",0.074,0,0
Vasopressor use,"5,389 (49.4%)","2,029 (63.1%)",0.281,0,0
Renal replacement therapy,626 (5.7%),259 (8.1%),0.092,0,0
