characteristic,alive_24h_no_post_ecg,included_landmark,smd,missing_n,missing_percent
"Age, years",67.0 [55.7-78.4],69.3 [58.8-79.3],0.13,0,0
Female sex,"6,868 (44.8%)","5,534 (39.2%)",-0.114,0,0
SOFA score,5 [3-7],5 [3-8],0.14,0,0
SAPS II,37 [29-46],39 [32-49],0.191,0,0
"First lactate, mmol/L",1.8 [1.2-2.8],2.0 [1.3-2.9],0.011,10873,36.9
Heart failure,"4,308 (28.1%)","5,281 (37.4%)",0.199,0,0
Atrial fibrillation,"4,195 (27.4%)","5,515 (39.0%)",0.25,0,0
Malignancy,"2,836 (18.5%)","1,844 (13.1%)",-0.15,0,0
Mechanical ventilation,"6,761 (44.1%)","8,503 (60.2%)",0.327,0,0
Vasopressor use,"5,138 (33.5%)","7,418 (52.5%)",0.391,0,0
Death through day 28,"2,885 (18.8%)","2,346 (16.6%)",-0.058,0,0
