analysis,n,exposed,deaths,patients,parameters,m,estimate,conf_low,conf_high,p_value,df,within_variance,between_variance,total_variance,relative_increase_variance,fraction_missing_information,monte_carlo_error_fraction_of_se,estimate_ci
Model 1: unadjusted,12285,2695,1762,11152,2,40,1.622965,1.4499,1.816686,4.29339e-17,11146.85,0.0033091567920945524,0,0.0033091567920945524,0,1.7937e-4,0,1.623 (1.450-1.817)
Model 2: demographics and comorbidities,12285,2695,1762,11152,16,40,1.5458,1.37405,1.739019,4.48917e-13,11132.86,0.003610138469781,2.0025908037107022e-7,0.0036103437353383803,5.685808428085e-5,2.3644e-4,0.0011776,1.546 (1.374-1.739)
Model 3: flexible primary model with categorical ECG count,12285,2695,1762,11152,22,40,1.206054,1.063286,1.367992,0.00356524,11103.89,0.004124997018973158,6.105176918071744e-6,0.004131254825314182,0.0015170450577880181,0.0016945,0.0060782,1.206 (1.063-1.368)
Continuous ECG-count adjustment,12285,2695,1762,11152,21,40,1.208197,1.065231,1.37035,0.00324951,11105.05,0.004121580364572784,6.068266397344715e-6,0.004127800337630062,0.001509123323359741,0.0016866,0.0060624,1.208 (1.065-1.370)
Exposure defined by first post-ICU ECG,12285,2407,1762,11152,22,40,1.216749,1.067528,1.386829,0.00329767,11102.73,0.00444824363679701,6.82471244761993e-6,0.004455238967055821,0.001572605016717894,0.0017499,0.0061884,1.217 (1.068-1.387)
Exactly one ECG in first 24 hours,9212,1868,1213,8560,20,40,1.171825,1.003713,1.368095,0.0447648,8511.67,0.0062276280570065816,1.2858986346210631e-5,0.006240808518011448,0.002116449615200898,0.0023464,0.0071772,1.172 (1.004-1.368)
First eligible landmark stay per patient,11152,2415,1554,11152,22,40,1.219354,1.067153,1.393263,0.00355574,11101.21,0.004618838117567236,7.409648618731388e-6,0.0046264330074014355,0.0016443290803618675,0.0018214,0.0063277,1.219 (1.067-1.393)
Flexible Model 3 without lactate,12285,2695,1762,11152,21,40,1.212091,1.069219,1.374054,0.00265116,11127.86,0.004093606720402759,2.374854250785366e-7,0.004093850142963464,5.9464080780468894e-5,2.3913e-4,0.0012043,1.212 (1.069-1.374)
Sepsis-3 suspected-infection time within 24 hours of ICU admission,11642,2583,1638,10587,22,40,1.179554,1.034915,1.344407,0.0133601,10543.19,0.004447702527886297,5.950115147582184e-6,0.004453801395912569,0.0013712400926170153,0.0015587,0.0057792,1.180 (1.035-1.344)
Expanded acuity model,12285,2695,1762,11152,21,40,1.228925,1.083257,1.39418,0.00136548,11075.03,0.004131527968127272,1.104838947034371e-5,0.004142852567334375,0.0027410196165840034,0.0029136,0.0081653,1.229 (1.083-1.394)
Complete-case flexible Model 3,8973,2108,1320,8490,22,0,1.151868,0.998826,1.328359,0.0519177,8468,0.005288989738859112,NA,0.005288989738859112,NA,NA,NA,1.152 (0.999-1.328)
Malignancy-inclusive Model 1,14129,3213,2346,12812,2,40,1.747624,1.584638,1.927373,7.16431e-29,12806.68,0.0024945689059903764,0,0.0024945689059903764,0,1.5613e-4,0,1.748 (1.585-1.927)
